orderid,itemid,cmtid,ctime,rating,userid,shopid,comment,rating_star,skin_suitability,absorption,model_name
136834571244480,3034933556,11443369205,1683522937,1,69435387,423318317,"Skin Suitability:not try yet
Absorption:not try yet

First time nak try, kalau sesuai nanti repeat. Hopefully sesuai la🥺 sbb serum kayman very the bagusss!",5,not try yet,not try yet,NEW Coalberry
97348709320925,3034933556,7502727440,1644989319,1,35168595,423318317,"Skin Suitability:kulit saya combi & ada sikit2 parut jerawat. Dah pakai 2 minggu & parut saya semakin pudar.

Will repeat this essence again 🥰 siap dapat free gift lagi 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻",5,,,Travel Essence
109318274635764,3034933556,8769862603,1656067396,-1,150528040,423318317,"Date of purchase: 19/06
Received item on 20/06, however the essence was missing from the package
Contacted seller on 20/06,
Seller sent Essence to courier for delivery on 22/6
24/6 still waiting for the essence to arrive,
disappointing first purchase 😕 there is much room for improvement",1,,,Soap + Essence
113020460134340,3034933556,9328632101,1660982822,1,58706664,423318317,"Skin Suitability:Combination Skin
Absorption:4/5

Serum - Was my holy grail. Nothing to say about this. Memang the best. 

Sunscreen - Not my liking. Because i’m too tanned so sangat2 ketara white cast tu and when you sweating? Haha even worst.

Pape pun lain orang lain pendapat.",5,Combination Skin,4/5,NEW Skintella Serum
99764482354197,3034933556,7766384665,1647392710,1,59500393,423318317,Sebelum ni try beli yg travel size. Rasa mcm best pulak. Ni baru try beli yg normal size. So far best pakai wlupn kulit sensitif. Rasa kulit mcm lembap dan kurang berminyak. Hopefully blh kurangkan dan pudarkan parut2 jerawat kat muka ni.,5,,,Rosa Glow Essence
147857690236352,3034933556,12535214039,1694331431,1,290884175,423318317,"Skin Suitability:dry & sensitive
Absorption:belum try

Hope sesuai dgn my skin condition sb skrg tgah naik jerawat btw serum & essense rosa glow tu best sgt tq seller",5,dry & sensitive,belum try,Toner + Moisturizer
92754301151247,3034933556,6998236567,1640160727,1,11450517,423318317,"Best bila pakai, tak terlalu berminyak. Muka rasa lembut lepas pakai",5,,,Rosa Glow Essence
161173194289421,3034933556,14202367637,1707988066,1,717895659,423318317,"Skin Suitability:sesuai

Product sangat sesuai dengan skin saya , serum kayman pakai 2 hari dah kecut jerawat .",5,,,Skintella Serum 2.0
92720688346140,3034933556,6856134710,1639129894,1,65707485,423318317,"Very good very good niice product just like description worth every penny, courier okay la buat job overall semua okay",5,,,Skintella Serum
113191308175709,3034933556,9183258299,1659774145,1,254056469,423318317,"Skin Suitability:okay
Absorption:okay

order 3/8 sampai 6/8. excited tunggu tak sabar. siap dapat free gift lagi. banyak pulak tu eee sukaaaaa. baru first time nak tryy harap harap okay la dekat skin hihihi nak glowing glowing jugak. thankyou seller for the free gift.",5,okay,okay,Skintella Moisturzer
154666061230294,3034933556,13576391592,1702765351,1,413916096,423318317,"Absorption:okay
Skin Suitability:okay for combination skin

Gentle on skin doesnt feel dry after using.",5,,,Coalberry Cleanser
113651287269099,3034933556,9231914286,1660201613,1,7844179,423318317,"Skin Suitability:ok
Absorption:ok

Packaging not really okay, improve next time. Dapat freegift getah rambut tq",4,ok,ok,NEW Coalberry
